Enchant_level,Enchant_Prob,Melt,Image
146,100,1,Sword_16
147,100,1,Sword_16
148,100,1,Sword_16
149,100,1,Sword_16
150,100,1,Sword_16
151,100,1,Sword_16
152,100,1,Sword_16
153,100,1,Sword_16
154,100,1,Sword_16
155,100,1,Sword_16
156,100,1,Sword_16
157,100,1,Sword_16
158,100,1,Sword_16
159,100,1,Sword_16
160,100,1,Sword_16
161,100,1,Sword_16
162,100,1,Sword_16
163,100,1,Sword_16
164,100,1,Sword_16
165,100,1,Sword_16
166,100,1,Sword_16
167,100,1,Sword_16
168,100,1,Sword_16
169,100,1,Sword_16
170,100,1,Sword_16
171,100,1,Sword_16
172,100,1,Sword_16
173,100,1,Sword_16
174,100,1,Sword_16
175,100,1,Sword_16
176,100,1,Sword_16
177,100,1,Sword_16
178,100,1,Sword_16
179,100,1,Sword_16
180,100,1,Sword_16
181,100,1,Sword_16
182,100,1,Sword_16
183,100,1,Sword_16
184,100,1,Sword_16
185,100,1,Sword_16
186,100,1,Sword_16
187,100,1,Sword_16
188,100,1,Sword_16
189,100,1,Sword_16
190,100,1,Sword_16
191,100,1,Sword_16
192,100,1,Sword_16
193,100,1,Sword_16
194,100,1,Sword_16
195,100,1,Sword_16
196,100,1,Sword_16
197,100,1,Sword_16
198,100,1,Sword_16
199,100,1,Sword_16
200,100,1,Sword_16
201,100,1,Sword_16
202,100,1,Sword_16
203,100,1,Sword_16
204,100,1,Sword_16
205,100,1,Sword_16
206,100,1,Sword_16
207,100,1,Sword_16
208,100,1,Sword_16
209,100,1,Sword_16
210,100,1,Sword_16
211,100,1,Sword_16
212,100,1,Sword_16
213,100,1,Sword_16
214,100,1,Sword_16
215,100,1,Sword_16
216,100,1,Sword_16
217,100,1,Sword_16
218,100,1,Sword_16
219,100,1,Sword_16
220,100,1,Sword_16
221,100,1,Sword_16
222,100,1,Sword_16
223,100,1,Sword_16
224,100,1,Sword_16
225,100,1,Sword_16
226,100,1,Sword_16
227,100,1,Sword_16
228,100,1,Sword_16
229,100,1,Sword_16
230,100,1,Sword_16
231,100,1,Sword_16
232,100,1,Sword_16
233,100,1,Sword_16
234,100,1,Sword_16
235,100,1,Sword_16
236,100,1,Sword_16
237,100,1,Sword_16
238,100,1,Sword_16
239,100,1,Sword_16
240,100,1,Sword_16
241,100,1,Sword_16
242,100,1,Sword_16
243,100,1,Sword_16
244,100,1,Sword_16
245,100,1,Sword_16
246,100,1,Sword_16
247,100,1,Sword_16
248,100,1,Sword_16
249,100,1,Sword_16
250,100,1,Sword_16
251,100,1,Sword_16
252,100,1,Sword_16
253,100,1,Sword_16
254,100,1,Sword_16
255,100,1,Sword_16
256,100,1,Sword_16
257,100,1,Sword_16
258,100,1,Sword_16
259,100,1,Sword_16
260,100,1,Sword_16
261,100,1,Sword_16
262,100,1,Sword_16
263,100,1,Sword_16
264,100,1,Sword_16
265,100,1,Sword_16
266,100,1,Sword_16
267,100,1,Sword_16
268,100,1,Sword_16
269,100,1,Sword_16
270,100,1,Sword_16
271,100,1,Sword_16
272,100,1,Sword_16
273,100,1,Sword_16
274,100,1,Sword_16
275,100,1,Sword_16
276,100,1,Sword_16
277,100,1,Sword_16
278,100,1,Sword_16
279,100,1,Sword_16
280,100,1,Sword_16
281,100,1,Sword_16
282,100,1,Sword_16
283,100,1,Sword_16
284,100,1,Sword_16
285,100,1,Sword_16
286,100,1,Sword_16
287,100,1,Sword_16
288,100,1,Sword_16
289,100,1,Sword_16
290,100,1,Sword_16
291,100,1,Sword_16
292,100,1,Sword_16
293,100,1,Sword_16
294,100,1,Sword_16
295,100,1,Sword_16
296,100,1,Sword_16
297,100,1,Sword_16
298,100,1,Sword_16
299,100,1,Sword_16
300,100,1,Sword_16
