Key,Text,Note
enchant.hud.max,더 이상 강화할 수 없습니다,검 강화 - 표의 확률이 0 인 최고 단계일 때
enchant.btn.normal,일반 강화,검 강화 - 왼쪽 아래 버튼 (2026-09-13 부터 버튼 그림에 글자가 그려져 있어 화면에는 안 나옴)
enchant.btn.normal.sub,실패하면 파괴,검 강화 - 일반 강화 버튼 아래 작은 글자 (지금은 그림에 그려져 있어 안 나옴)
enchant.btn.safe,안전 강화,검 강화 - 오른쪽 아래 버튼 (지금은 그림에 그려져 있어 안 나옴)
enchant.btn.safe.sub,{count},검 강화 - 안전 강화 버튼 그림의 "주문서 x" 뒤에 들어가는 숫자 (가진 주문서 수)
enchant.btn.melt,분해,검 강화 - 가운데 버튼 (지금은 그림에 그려져 있어 안 나옴)
enchant.btn.melt.on,주문서 +{count},검 강화 - 분해할 수 있을 때 받는 주문서 수
enchant.btn.melt.off,+{level}부터 가능,검 강화 - 아직 분해할 수 없을 때
enchant.working,강화 중...,검 강화 - 결과를 기다리는 동안
enchant.result.success,성공!,검 강화 - 강화 성공
enchant.result.safefail,실패! 검은 무사합니다,검 강화 - 안전 강화 실패
enchant.result.melt,안전 강화 주문서 +{count},검 강화 - 분해해서 주문서를 받았을 때
enchant.result.meltempty,주문서가 나오지 않았습니다,검 강화 - 분해했지만 못 받았을 때 (표에 Melt_Prob 열을 넣었을 때만)
enchant.broken.title,파괴!,검 강화 - 검이 부서졌을 때 제목
enchant.broken.body,+{level} 검이 부서졌습니다\n\n최고 기록  +{best},검 강화 - 부서졌을 때 설명
enchant.broken.button,새 검 받기,검 강화 - 부서진 뒤 버튼
enchant.melt.title,분해하시겠습니까?,검 강화 - 분해 확인 창 제목
enchant.melt.ask,+{level} 검이 사라지고\n안전 강화 주문서 {count}장을 받습니다,검 강화 - 분해 확인 창 설명
enchant.over.broken,파괴,검 강화 - 랭킹 기록용 사유 (화면에는 안 나옴)
enchant.over.melt,분해,검 강화 - 랭킹 기록용 사유 (화면에는 안 나옴)
